Namespace(upscale_factor=3, batchSize=4, testBatchSize=100, nEpochs=30, lr=0.001, cuda=True, mps=False, threads=4, seed=123)
===> Loading datasets
===> Building model
===> Epoch[1](1/50): Loss: 0.4401
===> Epoch[1](2/50): Loss: 0.1332
===> Epoch[1](3/50): Loss: 0.0534
===> Epoch[1](4/50): Loss: 0.0686
===> Epoch[1](5/50): Loss: 0.0390
===> Epoch[1](6/50): Loss: 0.0375
===> Epoch[1](7/50): Loss: 0.0315
===> Epoch[1](8/50): Loss: 0.0489
===> Epoch[1](9/50): Loss: 0.0266
===> Epoch[1](10/50): Loss: 0.0266
===> Epoch[1](11/50): Loss: 0.0229
===> Epoch[1](12/50): Loss: 0.0208
===> Epoch[1](13/50): Loss: 0.0180
===> Epoch[1](14/50): Loss: 0.0255
===> Epoch[1](15/50): Loss: 0.0249
===> Epoch[1](16/50): Loss: 0.0197
===> Epoch[1](17/50): Loss: 0.0188
===> Epoch[1](18/50): Loss: 0.0187
===> Epoch[1](19/50): Loss: 0.0165
===> Epoch[1](20/50): Loss: 0.0199
===> Epoch[1](21/50): Loss: 0.0178
===> Epoch[1](22/50): Loss: 0.0121
===> Epoch[1](23/50): Loss: 0.0170
===> Epoch[1](24/50): Loss: 0.0153
===> Epoch[1](25/50): Loss: 0.0113
===> Epoch[1](26/50): Loss: 0.0094
===> Epoch[1](27/50): Loss: 0.0123
===> Epoch[1](28/50): Loss: 0.0132
===> Epoch[1](29/50): Loss: 0.0150
===> Epoch[1](30/50): Loss: 0.0124
===> Epoch[1](31/50): Loss: 0.0143
===> Epoch[1](32/50): Loss: 0.0094
===> Epoch[1](33/50): Loss: 0.0130
===> Epoch[1](34/50): Loss: 0.0076
===> Epoch[1](35/50): Loss: 0.0084
===> Epoch[1](36/50): Loss: 0.0067
===> Epoch[1](37/50): Loss: 0.0098
===> Epoch[1](38/50): Loss: 0.0071
===> Epoch[1](39/50): Loss: 0.0118
===> Epoch[1](40/50): Loss: 0.0123
===> Epoch[1](41/50): Loss: 0.0089
===> Epoch[1](42/50): Loss: 0.0098
===> Epoch[1](43/50): Loss: 0.0060
===> Epoch[1](44/50): Loss: 0.0070
